,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
94,0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",47533.0,tt1618435,Scooby-Doo! Curse of the Lake Monster,2010-10-15,0.0,6.2,414.0
95,24000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",43593.0,tt0464154,Piranha 3D,2010-08-20,83188165.0,5.4,1777.0
96,5641880.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",37861.0,tt0862467,Valhalla Rising,2009-09-04,30638.0,6.1,985.0
97,80000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",12201.0,tt1226273,Edge of Darkness,2010-01-28,81126522.0,6.3,1222.0
98,25000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",35552.0,tt1179025,Les Aventures extraordinaires d'Adèle Blanc-Sec,2010-04-09,34100000.0,6.1,1083.0
99,52000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",32856.0,tt0817230,Valentine's Day,2010-02-10,216485654.0,5.9,2705.0
100,30000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",43539.0,tt1458175,The Next Three Days,2010-11-18,51148651.0,7.1,2381.0
101,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",50393.0,tt1702433,Kung Fu Panda Holiday,2010-11-26,0.0,6.9,253.0
102,1987650.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",26388.0,tt1462758,Buried,2010-09-24,19152480.0,6.6,2343.0
103,11500005.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",11645.0,tt0089881,乱,1985-06-01,11859533.0,8.1,1143.0
104,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",41135.0,tt1268987,Operation: Endgame,2010-07-20,0.0,4.9,156.0
105,112000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",38745.0,tt1320261,Gulliver's Travels,2010-12-23,237382724.0,5.2,2006.0
106,80000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",41216.0,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010-07-10,140073390.0,6.8,1907.0
107,28000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",23172.0,tt1273678,The Spy Next Door,2010-01-15,66166000.0,5.8,1073.0
108,20000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}]",16290.0,tt1116184,Jackass 3D,2010-10-15,117224271.0,6.6,1131.0
109,0.0,"[{'id': 18, 'name': 'Drama'}]",13078.0,tt0796302,The Babysitters,2008-05-09,44852.0,5.9,336.0
110,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",15357.0,tt1247640,Banlieue 13 - Ultimatum,2009-02-18,8786375.0,6.4,936.0
