,genre_ids,original_language,popularity,title,vote_average,vote_count
17558,"['Drama', 'Thriller', 'War']",en,10.219,Eye in the Sky,7.1,850
24172,['Documentary'],en,10.003,Fahrenheit 11/9,7.1,142
8108,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",ja,8.09,Fairy Tail the Movie: Phoenix Priestess,7.0,77
182,"['Animation', 'Comedy', 'Science Fiction']",en,8.956,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194
24546,"['Fantasy', 'Drama', 'Mystery']",sv,6.239,Fanny & Alexander,7.8,282
17388,"['Adventure', 'Family', 'Fantasy']",en,28.563,Fantastic Beasts and Where to Find Them,7.4,12152
14393,"['Drama', 'Romance']",en,8.683,Far from the Madding Crowd,7.0,586
3424,"['Action', 'Thriller', 'Crime']",en,2.097,Fast Five,7.2,4294
565,['Documentary'],en,3.356,"Fat, Sick & Nearly Dead",7.2,69
20805,"['Action', 'Animation', 'Drama', 'Fantasy', 'Mystery', 'Thriller']",ja,11.122,Fate/Stay Night: Heaven's Feel I. Presage Flower,7.2,42
17822,['Drama'],en,6.916,Fathers and Daughters,7.2,571
24529,['Drama'],fr,6.331,Fauve,7.8,55
11350,"['Animation', 'Comedy', 'Drama', 'Family']",en,7.51,Feast,8.0,578
11455,['Documentary'],en,6.62,Fed Up,7.4,152
21035,['Drama'],en,7.86,Feed,7.3,141
25097,['Documentary'],en,2.871,Feminists: What Were They Thinking?,8.2,42
20664,"['Animation', 'Family', 'Adventure', 'Comedy']",en,19.479,Ferdinand,7.1,1425
17454,"['Adventure', 'Animation', 'Comedy', 'Family']",en,15.393,Finding Dory,7.0,7845
8233,['Documentary'],en,6.837,Finding Vivian Maier,7.8,167
24427,"['Comedy', 'Drama', 'Romance', 'Music']",en,7.161,Finding Your Feet,7.2,64
21316,"['Action', 'Science Fiction', 'War', 'Horror']",en,5.265,Firebase,7.0,54
23878,"['History', 'Drama']",en,22.958,First Man,7.1,2304
21020,"['Drama', 'History', 'War']",en,7.979,First They Killed My Father,7.5,249
5745,"['War', 'Documentary']",en,3.836,Five Broken Cameras,7.6,45
145,"['Romance', 'Drama']",en,9.781,Flipped,7.4,859
8178,"['Action', 'Drama', 'Thriller']",ko,7.409,Flu,7.1,167
3069,"['Music', 'Documentary']",en,4.076,Foo Fighters: Back and Forth,7.6,54
18545,['Documentary'],en,1.993,Food Choices,7.6,45
