,title,production_budget,domestic_gross,worldwide_gross
255,How to Train Your Dragon: The Hidden World,129000000,160800000,519300000
88,Hugo,180000000,73900000,180000000
222,Hulk,137000000,132200000,245100000
3989,I Can Only Imagine,7000000,83500000,85600000
2869,I Know What You Did Last Summer,17000000,72300000,125300000
1411,"I Love You, Man",40000000,72000000,92300000
499,I Now Pronounce You Chuck and Larry,85000000,119700000,185700000
160,I am Legend,150000000,256400000,585500000
1127,I am Number Four,50000000,55100000,146200000
347,"I, Robot",105000000,144800000,348600000
773,Ice Age,65000000,176400000,386100000
351,Ice Age: Collision Course,105000000,64100000,402200000
413,Ice Age: Continental Drift,95000000,161300000,879800000
442,Ice Age: Dawn of the Dinosaurs,90000000,196600000,859700000
631,Ice Age: The Meltdown,75000000,195300000,651900000
1631,Identity Thief,35000000,134500000,175400000
644,Immortals,75000000,83500000,211600000
1647,In & Out,35000000,63800000,83200000
137,Inception,160000000,292600000,835500000
43,Incredibles 2,200000000,608600000,1242500000
626,Independence Day,75000000,306200000,817400000
132,Independence Day: Resurgence,165000000,103100000,384200000
75,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317100000,786600000
1213,Indiana Jones and the Last Crusade,48000000,197200000,474200000
2033,Indiana Jones and the Temple of Doom,28000000,179900000,333100000
700,Inglourious Basterds,70000000,120800000,316900000
1105,Inside Man,50000000,88600000,185800000
97,Inside Out,175000000,356500000,854200000
5062,Insidious,1500000,54000000,99900000
4252,Insidious Chapter 2,5000000,83600000,161900000
3544,Insidious: The Last Key,10000000,67700000,167900000
1246,Insomnia,46000000,67300000,113600000
643,Inspector Gadget,75000000,97400000,97400000
1219,Instant Family,48000000,67400000,119700000
131,Interstellar,165000000,188000000,666400000
1098,Interview with the Vampire: The Vampire Chronicles,50000000,105300000,223600000
976,Into the Woods,56200000,128000000,213100000
1426,Invincible,40000000,57800000,58500000
73,Iron Man,186000000,318600000,585200000
114,Iron Man 2,170000000,312400000,621200000
47,Iron Man 3,200000000,409000000,1215400000
1623,It,35000000,327500000,697500000
501,Itâs Complicated,85000000,112700000,224600000
1413,JFK,40000000,70400000,205400000
1278,Jack,45000000,58600000,58600000
867,Jack Reacher,60000000,80100000,217400000
884,Jack Reacher: Never Go Back,60000000,58700000,159900000
610,Jack and Jill,79000000,74200000,150500000
65,Jack the Giant Slayer,195000000,65200000,197700000
2497,Jackass 3D,20000000,117200000,171700000
3002,Jackass Presents: Bad Grandpa,15000000,102000000,160900000
3470,Jackass: Number Two,11000000,72800000,85300000
4256,Jackass: The Movie,5000000,64300000,79300000
685,Jarhead,72000000,62600000,96900000
285,Jason Bourne,120000000,162200000,416200000
3340,Jaws,12000000,260000000,470700000
2500,Jaws 2,20000000,102900000,208900000
1086,Jerry Maguire,50000000,154000000,274000000
2877,Jet Li's Hero,17000000,53700000,177500000
2174,Jimmy Neutron: Boy Genius,25000000,80900000,103000000
882,Jingle All the Way,60000000,60600000,129800000
13,John Carter,275000000,73100000,282800000
1606,John Q,36000000,71000000,102200000
1380,John Wick: Chapter 3 â Parabellum,40000000,141700000,256500000
1393,John Wick: Chapter Two,40000000,92000000,171400000
609,Journey 2: The Mysterious Island,79000000,103900000,318100000
1258,Journey to the Center of the Earth,45000000,101700000,243200000
887,Joy,60000000,56500000,101100000
1391,Julie & Julia,40000000,94100000,126600000
785,Jumanji,65000000,100500000,262800000
437,Jumanji: Welcome to the Jungle,90000000,404500000,964500000
530,Jumper,82500000,80200000,222600000
3985,Juno,7000000,143500000,231500000
824,Jurassic Park,63000000,395700000,1038800000
429,Jurassic Park III,93000000,181200000,365900000
33,Jurassic World,215000000,652300000,1648900000
112,Jurassic World: Fallen Kingdom,170000000,417700000,1305800000
557,Just Go With It,80000000,103000000,215000000
2729,Just Married,19000000,56100000,101600000
8,Justice League,300000000,229000000,655900000
3247,Justin Bieber: Never Say Never,13000000,73000000,99000000
877,Kangaroo Jack,60000000,66700000,90700000
1283,Kicking and Screaming,45000000,52800000,55800000
1007,Kill Bill: Volume 1,55000000,70100000,176500000
1010,Kill Bill: Volume 2,55000000,66200000,153500000
2123,Kindergarten Cop,26000000,91500000,202000000
2374,King Kong,23000000,52600000,90600000
353,Kingsman: The Golden Circle,104000000,100200000,408800000
428,Kingsman: The Secret Service,94000000,128300000,404600000
2093,Kiss the Girls,27000000,60500000,60500000
